star_id,time_days,flux,flux_error,transit
1,0.0,1.0017192820968435,0.0015,0
1,0.04008016032064128,0.9997305640697938,0.0015,0
1,0.08016032064128256,1.0024428806564005,0.0015,0
1,0.12024048096192384,1.0027530099463735,0.0015,0
1,0.16032064128256512,0.9984388321734219,0.0015,0
1,0.2004008016032064,0.9994335708040003,0.0015,0
1,0.24048096192384769,1.0015982610346525,0.0015,0
1,0.280561122244489,1.0009499767217693,0.0015,0
1,0.32064128256513025,0.987914422356983,0.0015,1
1,0.3607214428857715,0.9843611683461998,0.0015,1
1,0.4008016032064128,0.9847869327754484,0.0015,1
1,0.4408817635270541,0.986971656244104,0.0015,1
1,0.48096192384769537,1.0015845607518208,0.0015,0
1,0.5210420841683366,1.0031828951113466,0.0015,0
1,0.561122244488978,1.0021978850343678,0.0015,0
1,0.6012024048096192,1.000210333234363,0.0015,0
1,0.6412825651302605,1.0020531087695113,0.0015,0
1,0.6813627254509018,1.0000604281941572,0.0015,0
1,0.721442885771543,1.0028132574791042,0.0015,0
1,0.7615230460921844,1.0014155876245965,0.0015,0
1,0.8016032064128256,1.001206148549074,0.0015,0
1,0.8416833667334669,1.0004530936238636,0.0015,0
1,0.8817635270541082,1.0032974376251005,0.0015,0
1,0.9218436873747494,1.001219074958336,0.0015,0
1,0.9619238476953907,1.0007937434086773,0.0015,0
1,1.002004008016032,1.0008915421110591,0.0015,0
1,1.0420841683366733,1.002199876187975,0.0015,0
1,1.0821643286573146,1.0019294348783463,0.0015,0
1,1.122244488977956,1.0019784365389937,0.0015,0
1,1.1623246492985972,1.0019818788151842,0.0015,0
1,1.2024048096192383,1.0045226999085113,0.0015,0
1,1.2424849699398797,1.0006734915816926,0.0015,0
1,1.282565130260521,1.00048597510364,0.0015,0
1,1.3226452905811623,1.0000032819260523,0.0015,0
1,1.3627254509018036,1.0021159280426597,0.0015,0
1,1.4028056112224447,1.0028518926962449,0.0015,0
1,1.442885771543086,1.0009524892620818,0.0015,0
1,1.4829659318637274,0.9998266980926866,0.0015,0
1,1.5230460921843687,0.9998123267188973,0.0015,0
1,1.56312625250501,1.0019856958601294,0.0015,0
1,1.6032064128256511,1.0020841392566275,0.0015,0
1,1.6432865731462925,1.0017421863841793,0.0015,0
1,1.6833667334669338,0.9998861871614235,0.0015,0
1,1.723446893787575,1.001188545857855,0.0015,0
1,1.7635270541082164,1.0009700972808957,0.0015,0
1,1.8036072144288577,1.0010768372393106,0.0015,0
1,1.8436873747494988,1.002008714242892,0.0015,0
1,1.8837675350701402,1.000988823211285,0.0015,0
1,1.9238476953907815,1.0016228134259264,0.0015,0
1,1.9639278557114228,1.0006560426547666,0.0015,0
1,2.004008016032064,1.0009378663010733,0.0015,0
1,2.0440881763527052,1.0013999802138056,0.0015,0
1,2.0841683366733466,0.9982155885173833,0.0015,0
1,2.124248496993988,0.9998695704342088,0.0015,0
1,2.164328657314629,0.999590821539808,0.0015,0
1,2.2044088176352705,0.9992849834583946,0.0015,0
1,2.244488977955912,0.9997771917028918,0.0015,0
1,2.284569138276553,1.002378676134934,0.0015,0
1,2.3246492985971945,0.9987837002402344,0.0015,0
1,2.3647294589178354,1.0014809404948668,0.0015,0
1,2.4048096192384767,0.997450257442525,0.0015,0
1,2.444889779559118,0.9994183066117229,0.0015,0
1,2.4849699398797593,1.0001109385203129,0.0015,0
1,2.5250501002004007,1.000692489551348,0.0015,0
1,2.565130260521042,1.0008265848547884,0.0015,0
1,2.6052104208416833,1.000896665688344,0.0015,0
1,2.6452905811623246,0.9991308367154211,0.0015,0
1,2.685370741482966,0.9989081239877033,0.0015,0
1,2.7254509018036073,1.000836858363409,0.0015,0
1,2.7655310621242486,0.999211763411064,0.0015,0
1,2.8056112224448895,0.99753466448859,0.0015,0
1,2.845691382765531,0.9976984513329346,0.0015,0
1,2.885771543086172,0.9979701704730579,0.0015,0
1,2.9258517034068134,1.0000468987891216,0.0015,0
1,2.9659318637274548,0.9994675094363881,0.0015,0
1,3.006012024048096,1.000243277605897,0.0015,0
1,3.0460921843687374,0.9985213748765014,0.0015,0
1,3.0861723446893787,0.9993558518007967,0.0015,0
1,3.12625250501002,1.000013357635518,0.0015,0
1,3.1663326653306614,0.9985690791157643,0.0015,0
1,3.2064128256513023,0.9996776399518373,0.0015,0
1,3.2464929859719436,0.9979602702131005,0.0015,0
1,3.286573146292585,0.9983706151254036,0.0015,0
1,3.3266533066132262,0.9983060296952625,0.0015,0
1,3.3667334669338675,0.9970497688916677,0.0015,0
1,3.406813627254509,0.9995403755221188,0.0015,0
1,3.44689378757515,0.998073741846131,0.0015,0
1,3.4869739478957915,0.9987660967090356,0.0015,0
1,3.527054108216433,0.9858538284473013,0.0015,1
1,3.567134268537074,0.9829889225757279,0.0015,1
1,3.6072144288577155,0.9817535327086637,0.0015,1
1,3.6472945891783564,0.983379993021044,0.0015,1
1,3.6873747494989977,0.9979849898152301,0.0015,0
1,3.727454909819639,0.998480113406098,0.0015,0
1,3.7675350701402803,0.9960502546837905,0.0015,0
