time_days,flux,flux_error,transit
0.0,1.0017192820968435,0.0015,0
0.04008016032064128,0.9997305640697938,0.0015,0
0.08016032064128256,1.0024428806564005,0.0015,0
0.12024048096192384,1.0027530099463735,0.0015,0
0.16032064128256512,0.9984388321734219,0.0015,0
0.2004008016032064,0.9994335708040003,0.0015,0
0.24048096192384769,1.0015982610346525,0.0015,0
0.280561122244489,1.0009499767217693,0.0015,0
0.32064128256513025,0.987914422356983,0.0015,1
0.3607214428857715,0.9843611683461998,0.0015,1
0.4008016032064128,0.9847869327754484,0.0015,1
0.4408817635270541,0.986971656244104,0.0015,1
0.48096192384769537,1.0015845607518208,0.0015,0
0.5210420841683366,1.0031828951113466,0.0015,0
0.561122244488978,1.0021978850343678,0.0015,0
0.6012024048096192,1.000210333234363,0.0015,0
0.6412825651302605,1.0020531087695113,0.0015,0
0.6813627254509018,1.0000604281941572,0.0015,0
0.721442885771543,1.0028132574791042,0.0015,0
0.7615230460921844,1.0014155876245965,0.0015,0
0.8016032064128256,1.001206148549074,0.0015,0
0.8416833667334669,1.0004530936238636,0.0015,0
0.8817635270541082,1.0032974376251005,0.0015,0
0.9218436873747494,1.001219074958336,0.0015,0
0.9619238476953907,1.0007937434086773,0.0015,0
1.002004008016032,1.0008915421110591,0.0015,0
1.0420841683366733,1.002199876187975,0.0015,0
1.0821643286573146,1.0019294348783463,0.0015,0
1.122244488977956,1.0019784365389937,0.0015,0
1.1623246492985972,1.0019818788151842,0.0015,0
1.2024048096192383,1.0045226999085113,0.0015,0
1.2424849699398797,1.0006734915816926,0.0015,0
1.282565130260521,1.00048597510364,0.0015,0
1.3226452905811623,1.0000032819260523,0.0015,0
1.3627254509018036,1.0021159280426597,0.0015,0
1.4028056112224447,1.0028518926962449,0.0015,0
1.442885771543086,1.0009524892620818,0.0015,0
1.4829659318637274,0.9998266980926866,0.0015,0
1.5230460921843687,0.9998123267188973,0.0015,0
1.56312625250501,1.0019856958601294,0.0015,0
1.6032064128256511,1.0020841392566275,0.0015,0
1.6432865731462925,1.0017421863841793,0.0015,0
1.6833667334669338,0.9998861871614235,0.0015,0
1.723446893787575,1.001188545857855,0.0015,0
1.7635270541082164,1.0009700972808957,0.0015,0
